,Spectra,Host,HostDistance,Contrast,eta,alpha,rho
simu_2302,/sps/ztf/data/sedm/redux/20200604/hgspec_target_crr_b_ifu20200604_08_02_16_ZTF20abbhyxu.txt,/sps/ztf/data/sedm/redux/20211219/e3d_crr_b_ifu20211219_12_50_26_ZTF18acnbgrb.fits,1.9925607455057974,0.5794275872068945,1.0432863060005197,1.90058264155375,-0.17171841837885993
simu_2303,/sps/ztf/data/sedm/redux/20181107/hgspec_target_crr_b_ifu20181107_11_19_05_ZTF18accngee.txt,/sps/ztf/data/sedm/redux/20220130/e3d_crr_b_ifu20220130_06_43_04_ZTF20aamsjws.fits,1.1271275318903358,0.6680509274217895,1.2403197309848544,1.7268317989373407,-0.13495456175520468
simu_2304,/sps/ztf/data/sedm/redux/20200920/hgspec_target_crr_b_ifu20200920_02_58_18_ZTF20abyzbxa.txt,/sps/ztf/data/sedm/redux/20211219/e3d_crr_b_ifu20211219_06_28_18_ZTF20aamuqwn.fits,7.520025875321316,0.2535538957317869,1.0432863060005197,2.421835169402977,-0.11657263344337705
simu_2305,/sps/ztf/data/sedm/redux/20180824/hgspec_target_crr_b_ifu20180824_03_28_38_ZTF18abmjvpb.txt,/sps/ztf/data/sedm/redux/20220129/e3d_crr_b_ifu20220129_08_00_51_ZTF20aamdsjv.fits,4.224741308135617,0.31442764292845476,2.4225202808908617,3.116838539868614,-0.13495456175520468
simu_2306,/sps/ztf/data/sedm/redux/20181012/hgspec_target_crr_b_ifu20181012_04_32_47_ZTF18abyxwrf.txt,/sps/ztf/data/sedm/redux/20211220/e3d_crr_b_ifu20211220_09_32_28_ZTF19accdehb.fits,5.80835874137151,0.0975794628142424,0.45218603104751615,2.421835169402977,-0.24524613162617037
simu_2307,/sps/ztf/data/sedm/redux/20181012/hgspec_target_crr_b_ifu20181012_04_32_47_ZTF18abyxwrf.txt,/sps/ztf/data/sedm/redux/20220130/e3d_crr_b_ifu20220130_06_43_04_ZTF20aamsjws.fits,5.62384243922958,0.9640177707105554,1.437353155969189,2.7693368546357955,-0.11657263344337705
simu_2308,/sps/ztf/data/sedm/redux/20190711/hgspec_target_crr_b_ifu20190711_10_48_25_ZTF19abfqhis.txt,/sps/ztf/data/sedm/redux/20211218/e3d_crr_b_ifu20211218_11_36_05_ZTF20aafrjqw.fits,3.8683925411531925,0.8830419128057683,3.013620555843865,2.248084326786568,-0.07980877681972182
simu_2309,/sps/ztf/data/sedm/redux/20180713/hgspec_target_crr_b_ifu20180713_08_20_04_ZTF18abdkimx.txt,/sps/ztf/data/sedm/redux/20211219/e3d_crr_b_ifu20211219_08_39_47_ZTF20aciuakv.fits,5.1217784925808525,0.08766766662465512,2.6195537058751963,1.7268317989373407,-0.22686420331434276
simu_2310,/sps/ztf/data/sedm/redux/20180919/hgspec_target_crr_b_ifu20180919_04_15_00_ZTF18abtnlik.txt,/sps/ztf/data/sedm/redux/20211220/e3d_crr_b_ifu20211220_09_32_28_ZTF19accdehb.fits,7.216717578876049,0.5982758018844511,0.45218603104751615,2.9430876972522046,-0.19010034669068754
simu_2311,/sps/ztf/data/sedm/redux/20190305/hgspec_target_crr_b_ifu20190305_07_11_06_ZTF19aalcwjt.txt,/sps/ztf/data/sedm/redux/20220128/e3d_crr_b_ifu20220128_05_47_36_ZTF20aarcpql.fits,2.894670696014278,0.4946578429527258,1.0432863060005197,2.7693368546357955,-0.1533364900670323
simu_2312,/sps/ztf/data/sedm/redux/20200126/hgspec_target_crr_b_ifu20200126_02_44_57_ZTF20aafwbcs.txt,/sps/ztf/data/sedm/redux/20211203/e3d_crr_b_ifu20211203_04_31_16_ZTF19abzwtiu.fits,7.9579160959199156,0.5317790545936006,0.25515260606318163,4.333094438183478,-0.31877384487348087
simu_2313,/sps/ztf/data/sedm/redux/20180713/hgspec_target_crr_b_ifu20180713_08_20_04_ZTF18abdkimx.txt,/sps/ztf/data/sedm/redux/20220129/e3d_crr_b_ifu20220129_08_00_51_ZTF20aamdsjv.fits,6.0884482072064845,0.26731360098914425,2.225486855906527,2.0743334841701593,-0.07980877681972182
simu_2314,/sps/ztf/data/sedm/redux/20181107/hgspec_target_crr_b_ifu20181107_11_19_05_ZTF18accngee.txt,/sps/ztf/data/sedm/redux/20211219/e3d_crr_b_ifu20211219_06_28_18_ZTF20aamuqwn.fits,2.9967752186465915,0.68644614786852,1.6343865809535234,2.5955860120193863,-0.09819070513154943
simu_2315,/sps/ztf/data/sedm/redux/20180721/hgspec_target_crr_b_ifu20180721_05_32_10_ZTF18abhpzig.txt,/sps/ztf/data/sedm/redux/20220130/e3d_crr_b_ifu20220130_06_43_04_ZTF20aamsjws.fits,6.474936930561198,0.49695615625631184,1.0432863060005197,1.7268317989373407,-0.263628059937998
simu_2316,/sps/ztf/data/sedm/redux/20201118/hgspec_target_crr_b_ifu20201118_03_31_43_ZTF20acpkjsn.txt,/sps/ztf/data/sedm/redux/20211216/e3d_crr_b_ifu20211216_08_44_25_ZTF18abwkzuc.fits,3.5716830518403877,0.779928152570789,1.0432863060005197,1.7268317989373407,-0.24524613162617037
simu_2317,/sps/ztf/data/sedm/redux/20210923/spec_auto_robot_lstep1__crr_b_ifu20210923_11_03_45_ZTF21acaqdee.txt,/sps/ztf/data/sedm/redux/20220129/e3d_crr_b_ifu20220129_08_00_51_ZTF20aamdsjv.fits,2.0246708128031243,0.658583703249361,0.6492194560318507,2.0743334841701593,-0.263628059937998
simu_2318,/sps/ztf/data/sedm/redux/20200126/hgspec_target_crr_b_ifu20200126_02_44_57_ZTF20aafwbcs.txt,/sps/ztf/data/sedm/redux/20211218/e3d_crr_b_ifu20211218_11_36_05_ZTF20aafrjqw.fits,3.434055493685963,0.8303049293404302,1.437353155969189,2.0743334841701593,-0.13495456175520468
simu_2319,/sps/ztf/data/sedm/redux/20180916/hgspec_target_crr_b_ifu20180916_11_34_08_ZTF18abujbio.txt,/sps/ztf/data/sedm/redux/20211218/e3d_crr_b_ifu20211218_11_36_05_ZTF20aafrjqw.fits,7.9291298941157,0.85482553226211,1.0432863060005197,2.5955860120193863,-0.1533364900670323
simu_2320,/sps/ztf/data/sedm/redux/20180916/hgspec_target_crr_b_ifu20180916_11_34_08_ZTF18abujbio.txt,/sps/ztf/data/sedm/redux/20211219/e3d_crr_b_ifu20211219_08_39_47_ZTF20aciuakv.fits,1.4425682437083707,0.603576144155127,0.6492194560318507,2.421835169402977,-0.2820099882498256
simu_2321,/sps/ztf/data/sedm/redux/20191027/spec_auto_robot_lstep1__crr_b_ifu20191027_04_31_52_ZTF19acgbkzr.txt,/sps/ztf/data/sedm/redux/20211218/e3d_crr_b_ifu20211218_11_36_05_ZTF20aafrjqw.fits,4.769222367837421,0.2418022684048239,1.6343865809535234,2.248084326786568,-0.17171841837885993
simu_2322,/sps/ztf/data/sedm/redux/20191203/hgspec_target_crr_b_ifu20191203_02_34_21_ZTF19acvijnj.txt,/sps/ztf/data/sedm/redux/20211219/e3d_crr_b_ifu20211219_08_39_47_ZTF20aciuakv.fits,1.4939098644286226,0.25961867169814107,1.6343865809535234,2.5955860120193863,-0.22686420331434276
simu_2323,/sps/ztf/data/sedm/redux/20181121/hgspec_target_crr_b_ifu20181121_10_06_35_ZTF18aceynvm.txt,/sps/ztf/data/sedm/redux/20211216/e3d_crr_b_ifu20211216_08_44_25_ZTF18abwkzuc.fits,0.9275701884241274,0.8094931738189962,1.0432863060005197,1.90058264155375,-0.3371557731853085
simu_2324,/sps/ztf/data/sedm/redux/20200830/hgspec_target_crr_b_ifu20200830_03_35_19_ZTF20abwktfx.txt,/sps/ztf/data/sedm/redux/20211203/e3d_crr_b_ifu20211203_04_31_16_ZTF19abzwtiu.fits,1.735812718334404,0.6265265309472345,1.0432863060005197,2.421835169402977,-0.31877384487348087
simu_2325,/sps/ztf/data/sedm/redux/20180906/spec_auto_robot_lstep1__crr_b_ifu20180906_08_54_25_ZTF18abktmfz.txt,/sps/ztf/data/sedm/redux/20211219/e3d_crr_b_ifu20211219_06_28_18_ZTF20aamuqwn.fits,4.809233640724734,0.38649604347917904,1.437353155969189,3.4643402251014317,-0.1533364900670323
simu_2326,/sps/ztf/data/sedm/redux/20180721/hgspec_target_crr_b_ifu20180721_05_32_10_ZTF18abhpzig.txt,/sps/ztf/data/sedm/redux/20211219/e3d_crr_b_ifu20211219_06_28_18_ZTF20aamuqwn.fits,6.539027270921857,0.3469487304671877,1.831420005937858,2.5955860120193863,-0.061426848507894205
simu_2327,/sps/ztf/data/sedm/redux/20180721/hgspec_target_crr_b_ifu20180721_09_32_27_ZTF18abfhaji.txt,/sps/ztf/data/sedm/redux/20211219/e3d_crr_b_ifu20211219_08_39_47_ZTF20aciuakv.fits,5.956115205470002,0.23868507884490753,0.25515260606318163,2.9430876972522046,-0.3371557731853085
simu_2328,/sps/ztf/data/sedm/redux/20211212/spec_auto_robot_lstep1__crr_b_ifu20211212_06_14_11_ZTF21acgqhru.txt,/sps/ztf/data/sedm/redux/20211220/e3d_crr_b_ifu20211220_09_32_28_ZTF19accdehb.fits,0.33321450376511286,0.4064169424690485,0.8462528810161853,2.248084326786568,-0.09819070513154943
simu_2329,/sps/ztf/data/sedm/redux/20191031/hgspec_target_crr_b_ifu20191031_09_32_24_ZTF19achajnc.txt,/sps/ztf/data/sedm/redux/20211216/e3d_crr_b_ifu20211216_08_44_25_ZTF18abwkzuc.fits,1.0805098979748926,0.3885683678210987,1.2403197309848544,4.159343595567068,-0.13495456175520468
simu_2330,/sps/ztf/data/sedm/redux/20190305/hgspec_target_crr_b_ifu20190305_07_11_06_ZTF19aalcwjt.txt,/sps/ztf/data/sedm/redux/20211216/e3d_crr_b_ifu20211216_08_44_25_ZTF18abwkzuc.fits,2.8642416962026123,0.05431452515727859,1.6343865809535234,1.90058264155375,-0.11657263344337705
simu_2331,/sps/ztf/data/sedm/redux/20180713/hgspec_target_crr_b_ifu20180713_08_20_04_ZTF18abdkimx.txt,/sps/ztf/data/sedm/redux/20211219/e3d_crr_b_ifu20211219_08_39_47_ZTF20aciuakv.fits,3.3585834304482445,0.8197801421316969,0.8462528810161853,2.421835169402977,-0.22686420331434276
simu_2332,/sps/ztf/data/sedm/redux/20201112/hgspec_target_crr_b_ifu20201112_09_54_06_ZTF20acowpur.txt,/sps/ztf/data/sedm/redux/20211219/e3d_crr_b_ifu20211219_06_28_18_ZTF20aamuqwn.fits,9.187769831643351,0.9502135609298804,1.0432863060005197,3.290589382485023,-0.22686420331434276
simu_2333,/sps/ztf/data/sedm/redux/20180919/hgspec_target_crr_b_ifu20180919_04_15_00_ZTF18abtnlik.txt,/sps/ztf/data/sedm/redux/20211219/e3d_crr_b_ifu20211219_12_50_26_ZTF18acnbgrb.fits,1.7947674831342233,0.13281313762848443,0.8462528810161853,1.90058264155375,-0.263628059937998
simu_2334,/sps/ztf/data/sedm/redux/20191031/hgspec_target_crr_b_ifu20191031_09_32_24_ZTF19achajnc.txt,/sps/ztf/data/sedm/redux/20211220/e3d_crr_b_ifu20211220_09_32_28_ZTF19accdehb.fits,0.16240440896851452,0.9804445432775492,0.6492194560318507,1.3793301137045224,-0.2820099882498256
